City,Count of city
"Aberdeen, SD",61
"Abilene, TX",177
"Adak Island, AK",9
"Aguadilla, PR",182
"Akron, OH",606
"Albany, GA",88
"Albany, NY",1148
"Albuquerque, NM",2068
"Alexandria, LA",301
"Allentown/Bethlehem/Easton, PA",374
"Alpena, MI",52
"Amarillo, TX",476
"Anchorage, AK",1506
"Appleton, WI",418
"Arcata/Eureka, CA",93
"Asheville, NC",619
"Ashland, WV",76
"Aspen, CO",246
"Atlanta, GA",33837
"Atlantic City, NJ",265
"Augusta, GA",418
"Austin, TX",5580
"Bakersfield, CA",208
"Baltimore, MD",9494
"Bangor, ME",312
"Barrow, AK",62
"Baton Rouge, LA",656
"Beaumont/Port Arthur, TX",63
"Belleville, IL",100
"Bellingham, WA",220
"Bemidji, MN",61
"Bend/Redmond, OR",307
"Bethel, AK",71
"Billings, MT",336
"Binghamton, NY",88
"Birmingham, AL",1553
"Bismarck/Mandan, ND",306
"Bloomington/Normal, IL",278
"Boise, ID",1646
"Boston, MA",13108
"Bozeman, MT",309
"Brainerd, MN",54
"Bristol/Johnson City/Kingsport, TN",337
"Brownsville, TX",210
"Brunswick, GA",87
"Buffalo, NY",2256
"Burbank, CA",2298
"Burlington, VT",759
"Butte, MT",57
"Cape Girardeau, MO",54
"Casper, WY",58
"Cedar City, UT",54
"Cedar Rapids/Iowa City, IA",784
"Champaign/Urbana, IL",204
"Charleston, SC",2200
"Charleston/Dunbar, WV",421
"Charlotte Amalie, VI",209
"Charlotte, NC",20251
"Charlottesville, VA",478
"Chattanooga, TN",708
"Chicago, IL",35926
"Christiansted, VI",101
"Cincinnati, OH",4383
"Clarksburg/Fairmont, WV",66
"Cleveland, OH",4118
"Cody, WY",93
"College Station/Bryan, TX",184
"Colorado Springs, CO",845
"Columbia, MO",228
"Columbia, SC",667
"Columbus, GA",118
"Columbus, MS",88
"Columbus, OH",3933
"CONCORD, NC",82
"Cordova, AK",62
"Corpus Christi, TX",473
"Dallas, TX",6042
"Dallas/Fort Worth, TX",23765
"Dayton, OH",1183
"Daytona Beach, FL",304
"Deadhorse, AK",85
"Denver, CO",19836
"Des Moines, IA",1366
"Detroit, MI",13742
"Devils Lake, ND",52
"Dothan, AL",119
"Dubuque, IA",65
"Duluth, MN",231
"Durango, CO",253
"Eagle, CO",35
"Eau Claire, WI",61
"El Paso, TX",1529
"Elko, NV",57
"Elmira/Corning, NY",17
"Erie, PA",88
"Escanaba, MI",54
"Eugene, OR",320
"Evansville, IN",397
"Fairbanks, AK",388
"Fargo, ND",468
"Fayetteville, AR",1100
"Fayetteville, NC",353
"Flagstaff, AZ",123
"Flint, MI",420
"Florence, SC",14
"Fort Lauderdale, FL",8181
"Fort Myers, FL",2286
"Fort Smith, AR",176
"Fort Wayne, IN",611
"Fresno, CA",970
"Gainesville, FL",399
"Garden City, KS",62
"Gillette, WY",76
"Grand Forks, ND",182
"Grand Island, NE",79
"Grand Junction, CO",278
"Grand Rapids, MI",1271
"Great Falls, MT",136
"Green Bay, WI",431
"Greensboro/High Point, NC",1091
"Greenville, NC",96
"Greer, SC",1096
"Guam, TT",32
"Gulfport/Biloxi, MS",370
"Hagerstown, MD",13
"Hancock/Houghton, MI",61
"Harlingen/San Benito, TX",288
"Harrisburg, PA",550
"Hartford, CT",2434
"Hattiesburg/Laurel, MS",62
"Hays, KS",106
"Helena, MT",119
"Hibbing, MN",54
"Hilo, HI",545
"Hobbs, NM",58
"Honolulu, HI",4163
"Houston, TX",19278
"Huntsville, AL",747
"Hyannis, MA",2
"Idaho Falls, ID",226
"Indianapolis, IN",4271
"International Falls, MN",51
"Iron Mountain/Kingsfd, MI",32
"Islip, NY",592
"Ithaca/Cortland, NY",88
"Jackson, WY",155
"Jackson/Vicksburg, MS",641
"Jacksonville, FL",2747
"Jacksonville/Camp Lejeune, NC",273
"Jamestown, ND",82
"Joplin, MO",61
"Juneau, AK",360
"Kahului, HI",2135
"Kalamazoo, MI",219
"Kalispell, MT",128
"Kansas City, MO",4827
"Ketchikan, AK",201
"Key West, FL",421
"Killeen, TX",230
"Knoxville, TN",1368
"Kodiak, AK",55
"Kona, HI",1316
"Kotzebue, AK",62
"La Crosse, WI",176
"Lafayette, LA",411
"Lake Charles, LA",175
"Lansing, MI",314
"Laramie, WY",54
"Laredo, TX",214
"Las Vegas, NV",13898
"Latrobe, PA",85
"Lawton/Fort Sill, OK",123
"Lewisburg, WV",71
"Lewiston, ID",57
"Lexington, KY",864
"Liberal, KS",54
"Lihue, HI",1192
"Lincoln, NE",110
"Little Rock, AR",1188
"Long Beach, CA",1496
"Longview, TX",61
"Los Angeles, CA",19059
"Louisville, KY",1968
"Lubbock, TX",512
"Lynchburg, VA",123
"Madison, WI",1102
"Manchester, NH",828
"Manhattan/Ft. Riley, KS",155
"Marquette, MI",122
"Martha's Vineyard, MA",8
"Medford, OR",423
"Melbourne, FL",208
"Memphis, TN",2020
"Meridian, MS",93
"Miami, FL",7434
"Midland/Odessa, TX",734
"Milwaukee, WI",2812
"Minneapolis, MN",13581
"Minot, ND",228
"Mission/McAllen/Edinburg, TX",356
"Missoula, MT",216
"Moab, UT",51
"Mobile, AL",564
"Moline, IL",453
"Monroe, LA",260
"Monterey, CA",328
"Montgomery, AL",376
"Montrose/Delta, CO",31
"Mosinee, WI",305
"Muskegon, MI",61
"Myrtle Beach, SC",1150
"Nantucket, MA",38
"Nashville, TN",6228
"New Bern/Morehead/Beaufort, NC",203
"New Haven, CT",89
"New Orleans, LA",4957
"New York, NY",25857
"Newark, NJ",12563
"Newburgh/Poughkeepsie, NY",156
"Newport News/Williamsburg, VA",231
"Niagara Falls, NY",59
"Nome, AK",62
"Norfolk, VA",1982
"North Bend/Coos Bay, OR",31
"North Platte, NE",54
"Oakland, CA",4500
"Ogden, UT",8
"Ogdensburg, NY",12
"Oklahoma City, OK",2003
"Omaha, NE",2195
"Ontario, CA",1863
"Orlando, FL",11723
"Owensboro, KY",8
"Paducah, KY",61
"Pago Pago, TT",9
"Palm Springs, CA",833
"Panama City, FL",475
"Pasco/Kennewick/Richland, WA",224
"Pellston, MI",85
"Pensacola, FL",1032
"Peoria, IL",485
"Petersburg, AK",62
"Philadelphia, PA",10402
"Phoenix, AZ",15503
"Pittsburgh, PA",4205
"Plattsburgh, NY",45
"Pocatello, ID",119
"Ponce, PR",62
"Portland, ME",875
"Portland, OR",5255
"Portsmouth, NH",19
"Providence, RI",1662
"Provo, UT",43
"Pueblo, CO",81
"Punta Gorda, FL",401
"Quincy, IL",81
"Raleigh/Durham, NC",5368
"Rapid City, SD",394
"Redding, CA",92
"Reno, NV",1524
"Rhinelander, WI",61
"Richmond, VA",1963
"Roanoke, VA",206
"Rochester, MN",281
"Rochester, NY",1199
"Rock Springs, WY",55
"Rockford, IL",49
"Roswell, NM",118
"Sacramento, CA",4069
"Saginaw/Bay City/Midland, MI",258
"Salina, KS",80
"Salt Lake City, UT",9330
"San Angelo, TX",123
"San Antonio, TX",3266
"San Diego, CA",7702
"San Francisco, CA",14934
"San Jose, CA",4731
"San Juan, PR",2136
"San Luis Obispo, CA",411
"Sanford, FL",795
"Santa Ana, CA",3565
"Santa Barbara, CA",614
"Santa Fe, NM",123
"Santa Maria, CA",13
"Santa Rosa, CA",136
"Sarasota/Bradenton, FL",545
"Sault Ste. Marie, MI",57
"Savannah, GA",1394
"Scottsbluff, NE",54
"Scranton/Wilkes-Barre, PA",318
"Seattle, WA",12050
"Shreveport, LA",554
"Sioux City, IA",89
"Sioux Falls, SD",465
"Sitka, AK",106
"South Bend, IN",521
"Spokane, WA",1066
"Springfield, IL",157
"Springfield, MO",750
"St. Cloud, MN",7
"St. George, UT",273
"St. Louis, MO",5719
"St. Petersburg, FL",622
"State College, PA",88
"Staunton, VA",83
"Stillwater, OK",62
"Stockton, CA",67
"Sun Valley/Hailey/Ketchum, ID",62
"Syracuse, NY",1174
"Tallahassee, FL",535
"Tampa, FL",6254
"Texarkana, AR",117
"Toledo, OH",176
"Traverse City, MI",246
"Trenton, NJ",243
"Tucson, AZ",1606
"Tulsa, OK",1445
"Twin Falls, ID",113
"Tyler, TX",120
"Valdosta, GA",88
"Valparaiso, FL",720
"Waco, TX",146
"Washington, DC",16905
"Waterloo, IA",58
"West Palm Beach/Palm Beach, FL",2098
"West Yellowstone, MT",14
"White Plains, NY",848
"Wichita Falls, TX",91
"Wichita, KS",865
"Williston, ND",124
"Wilmington, NC",624
"Worcester, MA",90
"Wrangell, AK",62
"Yakutat, AK",62
"Yuma, AZ",120